,0
296,"Welcome to our forum, madebynature!I hear the deep pain you are expressing, the feelings of loneliness, the perception that others have a social support network that you are not experiencing at this time.  I have been through times very much like that, and it is isolating, to be sure.As you heal, remember that all emotions are transient and are leading us to new places.  It will not always be like this.  I am nearly 60 now, and do recall my 30s as having been raw and difficult.  But it changes, and good things will appear for you. Also, consider volunteering in some capacity.  Perhaps helping someone elderly who needs assistance in some aspect of life, or even working with animals at the local shelter.  In addition to making some connections, you may come away with new appreciation for what you do have in your life and gratitude is a powerful healing tool as well.Best wishes to you, and again, welcome. "
297,"Hi Madebynature,I'm so sorry you're so alone. I am too. It's a really heavy burden, that. Always leaves me feeling flawed and inadequate and it just feeds my self hatred perfectly. It's a loop that's hard to break.Age is definitely part of it. I'm not in my 20's anymore so looking for new friends isn't what people do anymore. Other circumstances play into it as well. Things I can't control, or change at all. Totally out of my hands. Yeah, self loathing is always difficult for me too... we're social animals and I desperately need to be seen, but I'm never seen. Everyone I know is either an accomplice or an abuser. It's crazy making. Trying to escape it leaves me exhausted. I'm looking for ways to stop trying to escape the inescapable. I know it isn't quite the same as being able to see and hear a person face to face, but you sound like someone I'd befriend in a split second. Introspected, gravitate toward serious conversations, yep. I would invite you for tea and we'd be talking for 4 hours before either of us noticed it, I bet. In my experience, a life full of trauma has been so much worse than just the trauma itself. It left me like a bit of an alien, with knowledge about the dangerous aspects of life that I shouldn't have learned at such a young age. It left me cynical but also very naive at the same time, willing to submit to every abuser and accomplice who came my way in hopes of being seen. So now in the past few years I've been intentionally changing myself, by myself, talking less to people and reading more, learning about trauma and personality disordered people, and watching my own habits. I still have self loathing to work on, it's a lifelong habit... but it's not as all-powerful as it was before. I still can't change circumstances, but I now am better at picking and choosing the sort of people I really do like and relate to. I'm getting better at saying No. At not being seen, and feeling the pain of it, but being able to bear it and learning to be alone with myself and almost like myself, or be able to imagine one day liking myself. Well, sometimes.  I find it easier with people who've gone through hardship, any sort of hardship. I agree with Jdog, when I'm able I work on projects for people who do suffer. Social housing projects and volunteering with people who know pain, like me, whether it's loneliness or also physical pain or poverty or all of it together. Being their friend reconnects me to what I know. It lets me be empathic to others not because my empathy was exploited non stop in the past, but because I consider my empathy an asset and I use it to help someone else a bit. And vicariously, it helps me a bit too.Just between you and me (and the entire web  ) I find the happy people really dull. They have nothing to talk about. No insights. No personal growth. People who have ""met"" real life, harsh life, are more interesting to me. They don't leave me feeling empty and alien. All other things aside, you've got a friend here.  "
298,"Everything written here, the original post and the followups, resonates 100% with my experience. Lonely to the point of despair, unsure of finding it at all anymore. But I too, speak from an older time frame, and there have been some cracks in the armor.One of these was almost accidentally finding myself in a creative vocation involving other people (acting). This sounds wonderful, but it was only a glimpse out of my bubble/iceberg in which I hid most of the rest of me (also a freeze sort). For several years, this kept me afloat but it (and some other factors) kept me distant once the acting part was over.I did, however, acquire 4 dear friends in the process. They, especially 1, became dear friends who had my back. Good stuff, then they all died within short order a couple of years ago, and I'm left once more without any support network whatsoever. Added to this is I live in a pretty remote region, where social outlets can dwindle to bars and/or churches, neither of which I gravitate to.I agree strongly with the idea of finding a volunteer niche in the social service sphere. For several years--when I was more mobile than I am now--I was a hospice volunteer and it was wonderful to be there with people who had no agenda other than ending their days peacefully. But an eye disease (glaucoma) and dwindling resources to travel cut off that possibility. I also did a stint a few years ago for a pre-school program. It was great, but I had to end it as well. For quite a few years, I wrote a very creative column for a local newspaper and while that mostly didn't involve social contacts (albeit some), it was well received and it kept the mind sharp. Now that too has slid off the table, and while I have no expectations of the next step, if there is one it might find me, but I've dampened any wild expectations of finding it. Having to know and then find the perfect way are two sides of the same illusion, though common in cptsd people.I'm still lonely, but another way to regard this is to call it solitary. Going solo isn't an indication that you're a pariah, but for legit reasons you know (and others don't have to unless it seems they might be understanding) your solo life outpaces the social. Again, there's not a zilch wrong with you for being sensitive; in many ways it's a positive, and you seem to know that. While it's disheartening sometimes, it's also not a life sentence.There's more, but it's probably enough said. I'm to the point where full-time intimate social interaction might/might not be in the cards for me. Still, I know how desperate it can feel. Something that's key (and that I too often forget) is to be open to surprise. I was surprised to find a 'healing memories' workshop not far from here; while I have some notion that there might indeed be like-minded people there, I'm not counting on it...just will show up as me.I hope some of this makes sense.  "
299,"Hi, I feel the same to a degree, Im quite a sociable person but can be in a large crowd of friends and feel incredibly lonely like I dont connect with anyone or people just dont understand me, I was talking to my therapist about this and she said one of the traits of cptsd is feeling incredibly alone, it has all to do with the trauma that we have been through and how weve felt as a child - very alone, no one to turn to, no one to share this with and no one who will understand us, we grow up feeling alone and different from other people due to our different life experiences. You to me sound like just the sort of person I would like to get to know, I too like deep conversations and am very empathetic and compassionate, there I dont think are that many people like that out there or certainly not many Ive come across, loneliness is a horrible thing to deal with and I have days where I see no one and just have my own depressing company which can be really depressing at times, Im slowly trying to find new directions in my life and think of me and what I want now rather then worrying about what other people will think of me etc, Im sure a lot of people will admire your qualities which sounds like you have a lot to me. Think about the fact that you have been through a lot of rubbish, you have come out the other side, you are still alive etc, I give myself affirmations every day to make me feel better, I am my support!"
300,"Made by nature,I hope you feel that there is support for you here, great people who have plenty of wisdom.Personally I don't do social groups very well, but I get a lot out of small interactions with people I meet briefly, had a nice chat with a person in a gift shop today where we were both laughing, can't even remember why but it was lovely.I save my existential questions for the good people on here, in real life I just talk about the inconsequential or ridiculous, it works OK for me.Those people you meet every day? They wont understand what we know to be true but they themselves are only one or two earth shattering traumas away from being right here with us. They just don't realise it.I envy them that."
301,"Wow, I am overwhelemed by all the reponses. Thank you.. I will respond to each person, for I'm thankful for each response:--Jdog: It is heartening read your words about emotions leading to new places and that things change and that good things will appear. Thank you for this and the warm welcome. I agree with you that gratitude is very powerful. Being able to feel gratitude for something, anything, has helped me pull through many difficult times. This past week I have started doing a daily gratitude list and it helps.ah: Your post made me teary. Thank you for being kind and saying that you would invite me for tea  and for sharing your insights and feelings. I relate to so much of what you've said. ""a life full of trauma has been so much worse than just the trauma itself"" >> this is so true. So much to be said about this. I also find it easier to interact and emotionally relate with people who have known hardship. What what you said about picking and choosing the people you like - this is something I am getting my head around. Throughout my life I have allowed people to use me through non-reciprocal, boundary breaking relationships and part of that I think stemmed from being so isolated inside and badly needing social contact. As I have been developing boundaries, I am slowly learning to turn down opportunities for social contact with individuals who show boundary breaking behavior. It's a hard thing to do when I'm craving social contact, but learning to say no despite the lonliness I feel is a neccessary step for me. No more sacrifice myself in exchange for a non-reciprocal 'friendships' as that just leaves me feeling more hollow and more alone. What you said about happy people who have not been through hardship being dull - haha, that's so interesting to hear and a refreshing perspective. Sometimes when I am somewhere public and there are pairs of people around conversing and I can hear what they're saying, I actually try to listen to their conversation because I wonder what do 'normal' people talk about. It is amazing how little substance many of the conversations seem to have.woodsgnome: Thank you for relating and for sharing some of your story. Yes, you post did make sense to me  I am sorry to hear that your friends passed away and that you are alone again. I hope the memories of your friends and the connection you had brings some comfort to you. What you said about being sensitive being a good thing, thank you for saying that, it is something I have at times tried to tell myself. I think I do believe it is a good thing, just find it hard to maintain that view when trying to from healing trauma has taken the center stage in my life now. But some part of me does believe that more sensitive people are needed in this world.Eyessoblue: Thank you for sharing your thoughts and for relating to my post. I too have read feeling alone as a child is a significant trait of ctpsd and childhood trauma. And thank you for expressing that you would like to get to know me - I rarely get to express myself to other as I have here and so not being rejected for such expressions and actually recieving something of the opposite is a different experience for me. I also agree about affirmations, I use them too and they really help.Rainagain: Thank you. Yes, from the responses so far it appears that there is supportive and knowledgable people here. I am quite overwhelemed by that right now. What you said here ""They wont understand what we know to be true but they themselves are only one or two earth shattering traumas away from being right here with us. They just don't realise it."" >> wow, that is such an insightful perspective. It has me really thinking. Thank you for that.---Given that so many responses have suggested doing volunteer work, I am going to really consider that and look into what options are locally available to me.I feel very appreciative of all you responses. I have been very scared or unsure about joining an online forum for a long time so it's actually confronting in some way for me to consider that this forum might actually be a genuinely supportive place. I think when a person has been hurt by people, especially the people who were supposed to care about you, it is challenging to understand when you receive the opposite of what you've come to expect from people. I am probably going to read your posts again tomorrow to let it all sink in. Thank you again for reading and providing such welcoming responses."
302,"Made by nature,I'm glad you feel welcomed and heard, this forum has great people.The opposite of what I said is also probably true, but for the trauma we would be sitting on a bench talking about the mundane and inconsequential just like everyone else."
303,"Chiming in a bit late hear, but felt I had some experience to share with meeting people.You described my social experience throughout my life perfectly- inability to fully connect with people, intense loneliness, depression and longing for some type of intimacy. I've looked back through my life recently to find the same pattern over and over- failed attempts to join social circles, getting rejected and ostracized, and wearing another layer of shame and self-deprecation decade after decade. During one recent therapeutic healing session, it was revealed to me that my fundamental development arrest was my insecure attachment to my mother and it's detrimental effects on my ability to relate to others in a manner that considers their needs and emotions in proper proportion to my own. My mother, due to her own traumatic background, recoiled at the sound of my crying as an infant. She was unable to sooth and comfort me in my distress, and that only caused me to cry louder. The resulting punishment and neglect forced me to learn to suppress my emotions in order to get my nominal survival needs met. But my emotional needs went unmet, and thus kicked off that lifelong search for someone who would meet my emotional needs while handicapped with the inability to meet theirs. No wonder every friendship and romance throughout my life was fleeting and fraught with anxiety and suspicion. I was always trying to come up with a new gimmick to meet women and ingratiate myself into social circles and cliques always with failure.It wasn't until I became ""cPTSD informed"" that I became aware of my self-defeating relationship patterns including unrealistic expectations of where I fit in. This allowed me to gain a toe hold with my left brain when, through sheer luck, I met a fellow misfit at a singles trivia Meetup group. What was lucky was that despite her shortcomings and traumatic background, she had a secure attachment with her mother, and thus helped provide me with some emotional regulation. More than anything this past year, I've been in a running battle with my outer critic who wants to do everything possible to break up our relationship. My OC produces endless reasons why I should get out of the relationship- her looks, her nerdiness, etc. But becoming cPTSD informed has taught me that the real underlying reason is my fear of loss, and my fear of my own reaction to a potential loss. The relationship won out because at the end of the day I realized that she was able to love me unconditionally, and that was foundational to the recent cathartic healing sessions I experienced. Now at 51 I'm working to nail down a wedding date with my new fiancee for mid-June.Another precursor to my recent therapeutic success was locating a therapist who I grew to trust, not because of this therapist's knowledge of cPTSD, but because this therapist trusted my knowledge of myself and what I'd learned about cPTSD in a way that empowered us to experiment with modalities until finding one that worked. Contrast this to most therapists who attempt to shoe-horn your particular situation into their preferred modality whether CBT or some novel, patented somatic therapy. Most therapists will sublimely disempower and belittle you in this manner. My current therapist would not even have to know about cPTSD in order to still fit my definition of a ""good enough therapist"".To summarize, a best friend and a ""good enough"" therapist were the allies I acquired and that were *made possible* first and foremost by becoming thoroughly knowledgable on how cPTSD resulted in my shortcomings, relational deficits, and applying that mindfully to ""right-size"" my approach to meeting people. Put another way, becoming cPTSD informed, opened up a whole new world of potential social support not available to me previously when all I was searching for was the perfect savior who could meet all my emotional needs."
304,"Slackjaw99 wow, sorry to interrupt someone else's post but that reply is wonderful, it probably explains why my mother was the way she was with me. Made by nature, I feel for you, I do. Somehow I do have a spouse, children etc, and my children probably know me best of all. But I still feel alone and isolated. Having a dog has helped me meet people but not support as such. It is something T's ask about, and show concern for, I don't really tell anyone what is in my head, except people like the ones here."
305,Such a good post made by nature thank you ... your words could so be my words ... Im trying to figure out at the moment how to motivate myself to keep moving 
306,"i don't know if anyone remembers, but I was dealing with a nightmare situation last year.It was an ethical problem and personal crisis rolled into one.  I got caught in the middle of something that I didn't know how to deal with and didn't feel I could manage.I still can't say what it was without potentially identifying myself and causing myself and many others, problems.  But over many meetings, mini-crises, newspaper articles, legal briefings, intimidation and harrassment, angst and pain, the situation is almost over and has turned out better than I could have imagined - for everyone concerned.  Best of all, despite huge triggers, I coped, and acquitted myelf well, imo.  Luckily, as with everything in life, perfection was not required, but it was hard to perservere.I had an issue which, because of the circumstances, became a part of opening a big can of worms.  I had fantastic support, most of all from my outstanding T, but it has been tough.I thought I would wait until the ' final act' this coming week, afraid I might jinx things by writing that it is finally over, but I feel it really is and this week will just be the icing on the cake.It was hard to not be able to share my tribulations here, but it meant a lot to me that OOTS was here and you were all your wonderful, supportive selves.  This community was still a sanctuary and support for me throughout.Thank you all for being here!"
307,"Yes I do remember, and what positive news! I'm glad that this weight has been lifted and with a good outcome.Well done! Time to finally breathe again yeah? "
308,"This is brilliant news, well done you.Achievement, success, overcoming difficulty, these are all parts of recovery and you have them in the bag."
309,"I remember and I am glad it is almost over.  You did a wonderful job coping.  I know at times it felt like the end of the world, but you hung in there.  I am also glad that you had an excellent T to help you. "
310,"Many thanks Contessa, Rainagain and Dee,The final stage went great.  I still can't believe it is really resolved, it feels surreal.  I feel like I have a big vacancy for a big worry left in my mind, but the truth is that space is for getting on with my life and feeling positive.One thing CPTSD does give us is resourcefulness.  It usually doesn't feel like we have it, but all of us here have overcome a lot.  More than we may realise."
311,I wondered if anyone has watched this as well. The end triggered me. Or at least made me temporarily angry. Do you know what I'm getting at? 
312,"OK,I have a hyper vigilant thing, I am alert for threat and sort of prepared to react.But the hyper vigilance seems to be a very fine mesh net with me, it picks up on small betrayals or unkindness directed toward me just as much as larger more important threat.I am pretty sure someone I have helped a lot put blame on me today for something they themselves had done. They did it to save face and to avoid criticism. It eased a social situation for them at the time, under the bus I went without a second thought.Now, its not a big deal really, their face saving small betrayal helped them out of a situation they were embarrassed about and hasn't caused me much real harm.But I am worked up and furious inside because part of me takes a zero tolerance approach to threats like this whatever their nature.I don't have much energy and have put quite a bit of it into helping this person, I feel this small injustice very keenly.And I will be back helping them tomorrow.A healthy mind would not be bothered, but mine isn't healthy."
313,"I'm not sure of the accuracy about a healthy mind not being bothered. Healthy people get their feelings hurt, too, and feel the disrespect of a reaction like this - IMO, the difference is their boundaries. Where I will want to bury the hurt and pretend it doesn't bother me, I think a healthy person feeling disrespected like this wouldn't  avoid having an honest conversation. Maybe they'd lose a friend, or maybe they'd deepen the friendship. Who knows?   "
314,Maybe that's the fundamental point 3R.Boundaries.What is acceptable and what is not.Its so exhausting to try to stop getting done over by thoughtless people.
315,"I'm sorry that happened Rainagain. Have you learned for sure that you were thrown under?I'm not sure of what the context is, perhaps it might be worth clarifying with the thrower? Acknowledge that you can see why it was beneficial to diffuse a situation, however you're not keen on receiving consequences for errors made by other people?Could be opportune to nip this in case throwing you under becomes a habit.This might be an over the top suggestion or way off the mark."
316,"Sound advice people.I went back to help but also told my truth.It wasn't pretty, the other person is difficult for anyone to deal with, but I stood up to the usual tactics of denial, prevarication, lies, subject changes, retaliatory accusations, everything but the kitchen sink.This person got more and more frantic as I did not accept the lies and distortions and eventually became tearful, a tactic of last resort I'm afraid.I realise now it is the only way to be heard, to stand firm and argue each rubbish point as it is thrown down.Previously I've said my piece but not engaged with the nonsense.I can't do this every day with this person, it was upsetting and exhausting even though the result was good. Need to reduce contact.Excellent advice, thank you."
317,That sounds full on RA. Too much emotional drama for something you did not instigate.Reducing contact seems like the best response.
318,"Exactly Contessa,Some people seem to always cause upset, but that is their stuff, I can't be doing with it."
319,"I surprised my T this week. I popped to the car part shop on the way to the session to get a new wiper blade & asked the man working there if he could fit it for me as I am not usually strong enough to fit the new blade. (Yes, sometimes I use my feminine wiles to get help.) he actually did fit the new blade for me. Not sure I dare go back for the other blade as I have now noticed that needs doing too. The fact that I could ask for help in this way, & get it from someone who didn't have to help me astounded my T. Because, I cannot ask for help from anyone I am close to, or it is very difficult. I find it very hard to ask for things from people in any kind of authority, I hated having to ask for a new spray or cleaning cloth in my old job as a lunchtime supervisor. Mind you, I wasn't the only person to have problems with the staff there, & lunchtime supervisors were very low in the pecking order. I think it is down to transference. You know, people who remind me of negative figures from my past. If I need whatever help I am asking for too much, I become too desperate, too scared of rejection. But, give me, builders, men in garages, yes, I can ask. The flip side is that I cannot tell men who flirt too much to *off, I am very bad at that. I struggle with being rude. So, I can understand why some social interactions are too much, & others are a breeze but it seemed hard to get my T to understand, surely every time you ask for help it is the same? I suppose, for someone who was naturally assertive getting their needs met is easy & is the same in every circumstance. In my experience I didn't get some needs met growing up, no matter how I asked, & my parents did not model assertiveness. Also, my parents were rubbish at direct communication, my mother is unable to say 'no', even when she will never give what you are asking for. I learnt not to bother asking, to be self-sufficient.I am curious about other people's experiences, are some things easy whilst the same thing, in a different place, with a different person feels impossible?G"
320,"I probably have little encouragement in this, since I'm pretty much the same way about asking. It can get pretty ugly--e.g. I'm afraid to talk to someone on the phone, sight unseen, about store hours or something innocuous. My fear of rejection is sky high in that regard. I know it's hurt me many times, but I haven't been able to change the pattern; I can tense up at the merest human contact concerning almost anything.With one exception--when I was able to control a situation. I got involved in what's known as improv/non-scripted acting, and was hugely talented at it. Why? Easy--I controlled the situation. Before and after I was the same hesitant poor soul unable to ask, but in performance mode I'd blow people over. And while I was also good at service-oriented jobs like working in hospice, the direct asking mode never factored in my comfort zone.So I guess the crux is the fear of rejection that rides so deep. If only--those two words remain as troublesome as ever. The easy and not-so-easy, in my case, is tilted to all social interaction being difficult, period."
321,I have so many issues being assertive.  Any step is a huge achievement for me.  My therapist gave me a handout on assertiveness rights and it has helped.  Your post reminded me that I am suppose to bring them with me next time as I have struggled more lately.She says it is because of the way I was groomed as a child.  I think grooming can come from many different forms for many different reasons.
322,"@woodsgnome I completely understand being able to 'perform' I kind of do that for work, in that situation, I am in control.@Dee I think I have those rights too. Easier said than done. I also have a book on non-violent communication. Which, in theory, seems so simple. Equanimity would help, being able to see every encounter as the same, without attaching too much importance to the outcome. Of course, I was groomed to be submissive, not to rock the boat, although it seems to have more of an impact in life away from FOO. In my FOO I was the only one to rock the boat, & want to know the reasons why? G"
323,"Quote from: woodsgnome on February 16, 2018, 05:39:57 PMWith one exception--when I was able to control a situation.It's the same for me. I used to work in very high stress jobs years ago, and I thrived. The protocol was very clear and complex, which probably gave me a sense of control I really needed. When I felt scared of people I could find relief in What Needed To be Done, in a concrete list of stuff to think about and achieve (relieving me of the need to get close to people / stay away and confuse them by it), and I tolerated the stress much better than most because, well... I was so used to it anyhow.  Also, strangers are easier in a way. Maybe because the rules of engagement are clearer and require less trust. Less chances of betrayal and less expectations / hope from our side. Maybe?"
324,"gromit, i agree with you that not all asking situations feel the same.  i have a harder time asking those closest to me because the chance of a 'no' reinforces what i learned a long time ago with my folks - that i have to figure out a way to do it myself since they're unwilling or incapable of helping me.this has shown itself many times after that in relationships, marriages, and even with my own children.  it becomes personal when it's someone i know, someone i think i should be able to rely on, and they turn me down flat with no explanation, or, even worse, a humiliating explanation/excuse.i am more ready to ask someone with whom i have no personal ties to.  if they say 'no', it doesn't hurt my heart.  that's a big difference. big hug to you filled with congratulations on asking.  feminine wiles aside, i would've asked for him to put that blade on just cuz i'm not familiar with how to do it.  same goes for the other one.  it's just not in my skill set, and that has nothing to do with being a girl.  guys can't do a lot of things i can do."
325,"A thought.We post on here about our dark difficult stuff. Intensely personal.We might get a few replies from people we have come to know virtually.Yet our personal pain is here for anyone to poke about in, it could be a field day for prurient vicarious horror show devotees for all I know.I like it! Here is my truth, you are welcome, world, enjoy!"
326,standing right beside you.  those people are not my problem.  let 'er rip!
327,"I have nothing to hide, and no one to hide it from. The shame is not mine. And if people don't believe me, * 'em. My comments are here for my own healing, a far distant second is that I hope I might point others in the general direction of healing. "
328,"Hi, my name is Justin and I'm relatively new here to the forum.  I'm honestly really happy to have learned about cptsd and that there are SOME places at least for support and community.  I developed cptsd in childhood and honestly all the therapists doctors healers and gurus I went to looking for help never mentioned anything like cptsd to me, or even that perhaps I had been severely traumatized and abused as a child.  Anyway, as happy as I am to learn about cptsd, and as eager as I am to recover, after reading Peter Walkers book I feel rather overwhelmed and a little bit hopeless.  Because I am primarily a freeze type with cptsd, I have spent most of my life in avoidance, hiding and isolation to the point where my social skills aren't so hot.  I mean I can do it, I can talk to people and so forth but it's always sort of a mask and the whole experience is very draining for me and I find myself counting the minutes before I can make my escape.  Also because of my constant state of shock fear and confusion growing up I isolated in my room and didn't learn a lot of things so my reservoir of things to talk about isn't so hot either.  Believe it or not as a male I avoided things like sports music and cars because the loud noises and tons of people were extremely triggering for me.  Honestly after learning about cptsd everything makes so much sense now.  I know I need to connect with others, and learning about emotional flashbacks and how to manage them is very helpful, but it's so incredibly difficult that I find I don't want to lol.  I'm also very interested in spirituality and meditation, so when it comes to things like seclusion I can take that to the next level.  I've had a few girlfriends in my life but nothing serious, and I can never 'do it' you know?  Connecting with others in a real and intimate way is something I've never been able to to do, and I always end up pushing the girl away.  I have had to go no contact with my abusive family and so I am alone and have no support system.  Honestly it really sucks and it's hard to go on like this.  I get so angry that I have to deal with cptsd and now I have to go through all this recovery just to get to a somewhat 'normal' place that I just say screw it sometimes.  Anyway, at least I know now what I'm struggling with and how to get through it.  Having cptsd is hard enough but the freeze element of it makes it even tougher to get through the inner emotional ice wall that I have developed.  I wanted to know if anyone here has trouble connecting with others and or in having intimate relationships with others.  I feel so invisible like I'm alive and part of a community but not really.  I work at night as well to give my nerves a break, so it's a very lonely world (although I do like to be alone for the most part).  I'm also underemployed as I was never able to complete a four year university due to intense emotional flashbacks in school settings and panic attacks I'd have and that has made my life extremely limited and narrow.  I honestly hate this and frankly wish I was never born if I was just going to end up with something like this and with no family support or love.  My Mom and sister live 15 minutes away from me but because of how abusive they are and the fact that they don't respect my boundaries, I spent Christmas alone in a cafe with a chicken salad sandwich and some coffee.  In fact I spent all the holidays alone.  And I can do it you know I'm used to it, but it's hard and I'm honestly sad.  I'm looking to go to some coda meetings in the area to at least start to open up and have some intimate and vulnerable conversations with people, and some other spiritual groups in the area.  Can anyone relate to this type of thing with connecting with others?"
329,"  I can relate to almost every word of what you've shared here. I'm definitely a freeze, but found fortune in various creative vocational situations which at least put me in touch with enough people to sustain the notion that there were people outside the bubble I usually feel trapped inside of.There's so many similarities in what you present to my own life that I hardly know where to start. One thing I'd like to make sure and note is to suggest you read Walker's book again, and take notice of the many positives he attributes to the freeze sort of person (awareness, mindfulness, peace, sense of presence, etc). Then try and further develop those as best you can. Sounds like you're doing a bit of this with the coda and spiritual activities you hinted at. At the very least, accept these attributes and pour self-compassion into your life for having them.You are who you are. There's plenty of bad vibes and being lonely doesn't appease the situation much; but the reverse is that because of who you are, it's not like you can run out and become a social gadfly, either--that would be even more intolerable. As stated, I was lucky to find a way to find enough creativity to weave at least some social activity into the solitary. And yes, I especially related to what you said about the constant urge to run--same here, big-time. Not saying this can be totally overcome, but I've developed personal mantras and the like that have helped (and sometimes not   ).Your story also reminded me of Walker's observation that freezers are among the most difficult types to treat, and how we often bail out of therapy. I did that, but found an outstanding T a couple of years back who's been an enormous help at working with me on my issues. So that would be a hope for you--do you have access to therapy now? You did mention the 'healing' professionals who didn't have a clue about cptsd.Avoidance can be as big of a trap as over-trying the social gambit. You're wise to stick to your boundaries, even though the m and sis aren't far off. I accomplished that decades ago when I moved to an isolated area. Something I learned in the process, though, is that no amount of distance totally eliminates the triggers and EFs that seem to follow wherever you are or however far away you think you've gotten. The mind/ego/inner critic is gruesome and tends to find one wherever they try to hide.And dampen expectations for how this trip called recovery will turn out--what it will look like, etc. Step 1 is you've acknowledged the hard row; step #2 is you've at least considered further steps. There's likely to be twists and turns, but as in any trip be aware of the hazards. I'm hardly a shining example of recovery (in my own lexicon I call it 'wholeness'), but I feel like I've found further peace (which can change in about 5 minutes and I'll wonder how I ever said that). My steps included loads of self-study, live therapy, living life as its own meditation, music, and a backwoods lifestyle that suits my extreme need for isolation.  The kicker still is how to relate to people, though. Still trying (but also giving up), which leads me to the final point--no amount of self-compassion is ever too much. That, and loads of patience, starting with acceptance. Oh, and the realization that while the old story was bad, the new one starts...now... Sounds easy. NOT!!!  "
330,
331,"I can relate very much, and I too agree with every word woodsgnome said.Finding out I have cptsd has been a lifesaver for me, but also a source of a lot of grieving. I didn't know I was so deeply wounded... till I found out about cptsd, I had no idea about so much. I was fast asleep. In some ways, waking up is a sobering experience, not always a happy one. I think your decision to have no contact with your family is brave beyond words. I know how painful it is to reach that point and to keep your promise to yourself.One other book I keep returning to, that helps me a lot in understanding cptsd, is ""The body keeps the score"" - about trauma.In my personal experience there's also good, healthy freeze like woodsgnome says. I guess I'll never feel fully comfortable around people who walk around life feeling like they belong... their comfort triggers me, and I feel invisible around them. Being around people is very draining for me too. People who are introverted are much better, but society nowadays is so extremely extroverted, and even if I weren't abused I'm sure I'd grow up very introverted because I'm not just hypervigilant because of cptsd, I'm also introspective. But there's also a lot of good in the things we find comforting. Meditation can be very valuable, it's what many trauma therapists advise their clients to learn. So maybe we have a head start on getting some measure of control over our cptsd  Like you, I know there's a lot I just didn't learn because I wasn't taught to socialize. A lot of the rules of socialization I learned as an adult by observing other people, and trying to keep my self hatred from attacking me when I got things wrong. I notice literally every time I talk to people I end up triggered but the more I understand about cptsd, the level of how much I get triggered varies; when I'm stronger it's much lighter. I'm alone with no support system either, I can deeply relate to your situation and how hard it is. Nothing about all of this is normal in the slightest. The things we had to go through, all the things we still have to go through now... you didn't deserve it, you didn't cause it. Your surroundings weren't normal. I'm so sorry you have to navigate the mine field of cptsd now as a result but you're not alone. I'm glad you're here."
332,"Thanks so much for your response, I really appreciate it.  It's really interesting to meet other people who struggle with cptsd, I feel as though no one could ever understand me, and although many places tell you you're not alone, I truly feel it here.  I am eager to find a 'good enough therapist' as Pete Walker calls them, one who can help me specifically with relational healing, but at the moment I don't have insurance and don't have enough extra money for it.  I have many tools I'm using to help me heal though, which are working well.  The relational part is key though. I like what you said about accepting myself.  I'm learning more and more that yes we can heal and overcome certain things, but this cptsd thing is not something that is going to vanish ever and to one extent or another we are sort of stuck with it.  I am introverted as well so maybe I should just allow myself to be how I am and not beat myself so much (cognitive healing anyone???)Anyway, thanks again, and you said you live in an isolated area somewhere?  That sounds fantastic lol.  "
333,"@ah Thank you for your kind words as well.  You know it'd be really nice if there were groups specifically for people with cptsd to get together at.  I think we could really be a great help to each other, and be able to socialize amongst ourselves at the same time.  Discovering emotional healing in and of itself was a life savor for me, and the more I know what my emotional needs are and how to meet them, the better I feel and the less I miss any outside source of wellbeing such as my family.  It's really just nice knowing that I am not alone in dealing with this stuff.  "
